,match_id,outcome,home_ability_score,home_attack_score,home_defend_score,home_attacking_rank,home_defending_rank,away_ability_score,away_attack_score,away_defend_score,away_attacking_rank,away_defending_rank
200,8455678,0,395.75,360.9,430.6,5898.0,5794.0,438.55,438.7,438.4,4150.0,4365.0
201,8455687,0,325.55,323.0,328.1,5384.0,5470.0,543.35,561.6,525.1,5558.0,5817.0
202,8455696,0,411.35,384.5,438.2,5503.0,5305.0,229.0,237.5,220.5,8855.0,8797.0
203,8455705,0,314.6,315.3,313.9,7748.0,7827.0,605.5500000000001,575.4,635.7,4274.0,3605.0
204,8455714,1,499.6,494.4,504.8,4907.0,4839.0,262.85,269.6,256.1,7381.0,7798.0
205,8455723,0,443.15000000000003,424.0,462.3,5281.0,5020.0,495.65,521.8,469.5,5313.0,5511.0
206,8455732,1,387.05,381.0,393.1,5786.0,5724.0,287.2,286.2,288.2,6227.0,6367.0
207,8455741,1,540.1,501.8,578.4,5150.0,4500.0,207.8,213.8,201.8,8951.0,9004.0
208,8455750,1,332.2,345.8,318.6,6488.0,6906.0,467.25,451.1,483.4,4611.0,4391.0
209,8455759,1,516.1,522.0,510.2,4133.0,4156.0,309.3,315.4,303.2,7662.0,7813.0
210,8455768,1,481.4,502.7,460.09999999999997,5444.0,5736.0,352.25,319.8,384.7,5954.0,5986.0
211,8455777,1,421.1,403.0,439.2,5623.0,5528.0,541.35,552.9,529.8,5711.0,5829.0
212,8455786,1,339.25,301.9,376.6,5270.0,5324.0,446.40000000000003,448.0,444.8,5143.0,5101.0
213,8455795,0,418.5,416.2,420.8,4264.0,4188.0,325.6,318.3,332.9,5468.0,5521.0
214,8455804,1,291.5,299.8,283.2,6301.0,6611.0,380.3,366.40000000000003,394.2,6178.0,6080.0
215,8455813,0,228.95000000000002,239.3,218.6,8928.0,8957.0,486.5,504.3,468.7,5235.0,5417.0
216,8455822,0,302.35,304.2,300.5,6704.0,6781.0,442.15,440.9,443.4,4618.0,4748.0
217,8455831,0,578.45,599.0,557.9,4921.0,5179.0,540.1,501.8,578.4,5150.0,4500.0
218,8455840,1,388.3,373.8,402.8,5438.0,5281.0,383.15000000000003,370.3,396.0,5787.0,5603.0
219,8455849,1,291.3,284.2,298.4,6402.0,6475.0,317.05,327.9,306.2,6125.0,6541.0
220,8455858,1,455.05,461.0,449.1,4953.0,4967.0,165.85,174.9,156.8,9111.0,9313.0
221,8455867,1,474.8,441.0,508.6,5962.0,5421.0,433.3,419.3,447.3,5012.0,4875.0
222,8455876,1,237.05,247.4,226.7,8648.0,8632.0,590.75,601.5,580.0,4740.0,4772.0
223,8455885,1,396.0,376.1,415.9,5923.0,5758.0,423.40000000000003,385.9,460.90000000000003,4874.0,4951.0
224,8455894,1,436.05,425.59999999999997,446.5,4820.0,4845.0,592.35,590.1,594.6,3717.0,3733.0
225,8455903,1,299.45,298.4,300.5,6264.0,6300.0,312.9,324.79999999999995,301.0,6751.0,6960.0
226,8455912,0,318.65,323.1,314.2,6427.0,6687.0,419.35,430.0,408.7,4804.0,4957.0
227,8455921,1,400.55,407.8,393.3,5578.0,5541.0,299.8,309.4,290.2,7391.0,7637.0
228,8455930,1,471.05,469.5,472.6,5123.0,5137.0,533.2,495.5,570.9,4810.0,4117.0
229,8455939,1,395.3,381.3,409.3,6065.0,5963.0,422.95000000000005,385.0,460.9,4972.0,4965.0
230,8455948,1,421.55,406.0,437.1,4919.0,4931.0,327.15000000000003,320.3,334.0,5844.0,5798.0
231,8455957,0,402.85,387.8,417.9,5351.0,5259.0,493.6,513.6,473.6,4623.0,4704.0
232,8455966,1,318.25,323.4,313.09999999999997,6528.0,6868.0,249.3,260.0,238.6,8246.0,8188.0
233,8455975,1,548.15,528.0,568.3,4512.0,3859.0,351.95,345.1,358.8,6148.0,6214.0
234,8455984,1,255.65,258.09999999999997,253.2,8688.0,8812.0,422.1,404.0,440.2,5522.0,5445.0
235,8456002,1,406.6,414.2,399.0,5682.0,5858.0,378.75,369.8,387.7,5601.0,5428.0
236,8456011,0,297.2,291.2,303.2,6356.0,6375.0,452.25,451.4,453.09999999999997,6065.0,6065.0
237,8456020,0,276.05,283.0,269.1,7826.0,7727.0,301.45,307.4,295.5,8018.0,8077.0
238,8456029,0,472.5,429.9,515.1,4191.0,4172.0,484.15,469.7,498.59999999999997,5574.0,5340.0
239,8456038,1,489.25,475.2,503.3,3810.0,3776.0,393.75,370.0,417.5,5360.0,5170.0
240,8456047,1,560.95,531.6,590.3,4755.0,4058.0,289.45,290.4,288.5,7649.0,7957.0
