player_id;name;team_name;Ability_score;attack_score;defend_score;attacking_rank;defending_rank
128790;Anton Lienert-Brown;Chiefs;14.100000000000001;14.9;13.3;184.0;200.0
209964;Cameron Suafoa;Blues;14.0;12.8;15.2;198.0;172.0
179538;Sam Spink;Western Force;14.0;14.7;13.3;185.0;202.0
176598;Harry Plummer;Blues;13.95;16.2;11.7;168.0;226.0
184722;Tevita Mafileo;Hurricanes;13.899999999999999;10.6;17.2;229.0;158.0
118890;Allan Alaalatoa;ACT Brumbies;13.850000000000001;8.6;19.1;252.0;140.0
186534;Brodie McAlister;Crusaders;13.85;11.7;16.0;214.0;166.0
153156;Angus Blyth;Queensland Reds;13.8;5.9;21.7;302.0;126.0
206664;Kaylum Boshier;Chiefs;13.75;10.9;16.6;225.0;163.0
197922;Anton Segner;Blues;13.6;10.7;16.5;228.0;164.0
193038;Corey Toole;ACT Brumbies;13.5;18.5;8.5;149.0;272.0
134880;Bryn Gatland;Chiefs;13.350000000000001;16.1;10.6;169.0;241.0
188862;Kini Naholo;Crusaders;13.2;15.7;10.7;175.0;238.0
203442;Fine Inisi;Moana Pasifika;13.05;14.6;11.5;186.0;230.0
140352;Josh Ioane;Chiefs;12.95;15.5;10.4;177.0;243.0
209232;Cabous Eloff;Melbourne Rebels;12.95;12.1;13.8;209.0;193.0
227712;Roger Tuivasa-Sheck;Blues;12.8;12.7;12.9;200.0;206.0
130710;Matt Philip;Melbourne Rebels;12.8;13.7;11.9;191.0;223.0
115080;Nepo Laulala;Blues;12.7;10.6;14.8;230.0;179.0
192960;Rory Scott;ACT Brumbies;12.7;8.1;17.3;265.0;156.0
191460;Zane Nonggorr;Queensland Reds;12.65;10.9;14.4;226.0;183.0
197832;Sam Darry;Blues;12.600000000000001;9.8;15.4;240.0;171.0
182292;Josh Kemeny;Melbourne Rebels;12.45;10.0;14.9;235.0;178.0
134460;Richard Hardwick;Melbourne Rebels;12.3;11.2;13.4;224.0;199.0
156996;Tom Robinson;Blues;12.25;9.9;14.6;237.0;181.0
139980;Ned Hanigan;NSW Waratahs;12.100000000000001;10.3;13.9;233.0;192.0
124362;Henry Taefu;Moana Pasifika;12.0;12.2;11.8;208.0;225.0
192546;Joey Walton;NSW Waratahs;12.0;11.8;12.2;213.0;216.0
103392;Teti Tela;Fijian Drua;12.0;11.6;12.4;218.0;213.0
241614;Peter Lakai;Hurricanes;11.95;11.5;12.4;219.0;211.0
149730;Ere Enari;Moana Pasifika;11.899999999999999;12.7;11.1;202.0;234.0
153402;Rhys Van Nek;Melbourne Rebels;11.8;7.8;15.8;268.0;168.0
134682;James Tuttle;Melbourne Rebels;11.649999999999999;14.1;9.2;189.0;259.0
157056;Andrew Makalio;Highlanders;11.600000000000001;9.8;13.4;238.0;198.0
115806;Joe Moody;Crusaders;11.55;9.0;14.1;242.0;189.0
206700;Fletcher Newell;Crusaders;11.5;8.4;14.6;257.0;182.0
192480;Billy Pollard;ACT Brumbies;11.2;8.2;14.2;261.0;187.0
130380;Josh Dickson;Highlanders;11.0;7.6;14.4;274.0;184.0
141732;Sam Nock;Blues;10.95;12.1;9.8;212.0;250.0
102870;Angus Ta'avao;Chiefs;10.95;9.0;12.9;243.0;208.0
128226;Peni Ravai;Queensland Reds;10.8;10.4;11.2;232.0;233.0
142170;Alex Mafi;Queensland Reds;10.75;9.0;12.5;245.0;209.0
173868;Bailyn Sullivan;Hurricanes;10.6;12.6;8.6;203.0;269.0
148230;Alamanda Motuga;Moana Pasifika;10.6;8.2;13.0;263.0;204.0
160674;Tuaina Taii Tualima;Queensland Reds;10.5;9.0;12.0;244.0;219.0
173094;Scott Gregory;Highlanders;10.45;11.2;9.7;223.0;252.0
346554;Max Jorgensen;NSW Waratahs;10.45;14.9;6.0;183.0;309.0
130686;Tom Robertson;Western Force;10.350000000000001;8.4;12.3;256.0;214.0
69492;Aaron Smith;Highlanders;10.3;13.7;6.9;192.0;297.0
132966;Jamie Booth;Hurricanes;10.3;13.7;6.9;193.0;296.0
149658;Pouri Rakete-Stones;Hurricanes;10.2;8.4;12.0;258.0;221.0
142302;Nick Jooste;Melbourne Rebels;10.15;11.3;9.0;222.0;262.0
216066;Zach Gallagher;Crusaders;10.15;7.3;13.0;277.0;205.0
235482;Justin Sangster;Hurricanes;9.9;8.5;11.3;254.0;231.0
160668;Jake Strachan;Western Force;9.9;12.9;6.9;197.0;293.0
131382;Feleti Kaitu'u;Western Force;9.899999999999999;7.6;12.2;273.0;215.0
191418;Glen Vaihu;Melbourne Rebels;9.75;12.4;7.1;206.0;291.0
201210;Meli Derenalagi;Fijian Drua;9.7;9.8;9.6;239.0;255.0
103554;Ian Prior;Western Force;9.65;12.1;7.2;210.0;286.0
149808;Izack Rodda;Western Force;9.6;8.7;10.5;249.0;242.0
133770;Jack Goodhue;Crusaders;9.5;9.0;10.0;246.0;249.0
60192;Owen Franks;Hurricanes;9.5;7.1;11.9;280.0;222.0
111024;TJ Perenara;Hurricanes;9.45;12.7;6.2;199.0;308.0
185118;Mesulame Dolokoto;Fijian Drua;9.399999999999999;8.6;10.2;253.0;247.0
203430;Lotu Inisi;Moana Pasifika;9.3;8.9;9.7;247.0;251.0
166242;Lachlan Swinton;NSW Waratahs;9.100000000000001;6.9;11.3;281.0;232.0
125064;Sam Talakai;Melbourne Rebels;8.8;5.5;12.1;313.0;218.0
131148;Sef Fa'agase;Melbourne Rebels;8.75;7.2;10.3;278.0;245.0
188610;Lincoln McClutchie;Moana Pasifika;8.7;11.5;5.9;220.0;310.0
54150;Christian Leali'ifano;Moana Pasifika;8.65;10.5;6.8;231.0;300.0
243174;Tom Lynagh;Queensland Reds;8.65;9.4;7.9;241.0;281.0
132948;James Lentjes;Highlanders;8.6;5.6;11.6;310.0;229.0
216096;Ruben Love;Hurricanes;8.55;12.4;4.7;205.0;340.0
133602;Folau Fainga'a;ACT Brumbies;8.5;6.7;10.3;287.0;244.0
175518;Laghlan McWhannell;Chiefs;8.45;7.8;9.1;271.0;261.0
147540;Oli Jager;Crusaders;8.3;5.7;10.9;307.0;236.0
118578;Pablo Matera;Crusaders;8.25;7.9;8.6;266.0;268.0
113970;Tetera Faulkner;NSW Waratahs;8.2;4.4;12.0;333.0;220.0
149820;Richie Asiata;Queensland Reds;8.2;5.8;10.6;306.0;240.0
234684;Max Hicks;Highlanders;8.2;5.5;10.9;312.0;237.0
160818;Irae Simone;ACT Brumbies;8.05;6.7;9.4;283.0;257.0
119346;Alex Hodgman;Blues;8.0;6.5;9.5;291.0;256.0
131862;Taniela Tupou;Queensland Reds;7.9;8.6;7.2;251.0;287.0
144780;Rob Leota;Melbourne Rebels;7.9;6.7;9.1;285.0;260.0
197916;Josh Lord;Chiefs;7.8;6.4;9.2;292.0;258.0
208926;Mac Grealy;Queensland Reds;7.8;10.0;5.6;236.0;316.0
124602;Patrick Tuipulotu;Blues;7.8;8.1;7.5;264.0;284.0
147456;Peter Umaga-Jensen;Hurricanes;7.7;8.3;7.1;259.0;290.0
161100;Connor Vest;Queensland Reds;7.6;6.3;8.9;294.0;265.0
134016;Monty Ioane;Melbourne Rebels;7.550000000000001;10.8;4.3;227.0;349.0
140028;George Bridge;Crusaders;7.5;8.7;6.3;250.0;307.0
134886;Reed Prinsep;Hurricanes;7.4;5.8;9.0;305.0;263.0
140016;Lukhan Salakaia-Loto;Queensland Reds;7.3999999999999995;6.6;8.2;288.0;277.0
156768;Jordan Lay;Blues;7.35;5.0;9.7;318.0;253.0
204888;David Feliuai;Melbourne Rebels;7.300000000000001;7.7;6.9;272.0;295.0
185988;Pone Fa'amausili;Melbourne Rebels;7.300000000000001;6.7;7.9;284.0;280.0
188904;Luteru Tolai;Moana Pasifika;7.3;6.4;8.2;293.0;276.0
173436;Manaaki Selby-Rickit;Highlanders;7.2;5.9;8.5;303.0;271.0
197910;Saula Mau;Highlanders;7.1499999999999995;6.1;8.2;299.0;275.0
111492;Kyle Godwin;Western Force;7.050000000000001;7.4;6.7;276.0;302.0
118740;Rhys Marshall;Highlanders;6.95;6.2;7.7;296.0;282.0
191484;Reesjan Pasitoa;Western Force;6.95;8.3;5.6;260.0;318.0
131178;Ryan McCauley;Western Force;6.9;5.4;8.4;314.0;273.0
120534;Toni Pulu;Western Force;6.800000000000001;7.9;5.7;267.0;315.0
153636;Blake Schoupp;ACT Brumbies;6.800000000000001;4.8;8.8;322.0;266.0
62514;Luke Romano;Blues;6.8;6.1;7.5;300.0;283.0
196962;Dane Zander;Queensland Reds;6.75;2.8;10.7;378.0;239.0
140406;Jonathan Taumateine;Moana Pasifika;6.7;7.5;5.9;275.0;313.0
209904;Zuriel Togiatama;Fijian Drua;6.7;4.4;9.0;331.0;264.0
234774;Felix Kalapu;Western Force;6.699999999999999;6.6;6.8;290.0;298.0
139962;Alex Newsome;NSW Waratahs;6.65;8.8;4.5;248.0;345.0
168996;Samuel Slade;Moana Pasifika;6.5;4.9;8.1;320.0;279.0
197814;Tyrone Thompson;Chiefs;6.45;5.7;7.2;308.0;289.0
234528;Fabian Holland;Highlanders;6.3999999999999995;4.6;8.2;324.0;278.0
262374;Miracle Faiilagi;Moana Pasifika;6.2;6.0;6.4;301.0;306.0
149994;Sefo Kautai;ACT Brumbies;6.1;3.8;8.4;352.0;274.0
226464;Daniel Rona;Chiefs;6.05;6.6;5.5;289.0;320.0
175506;Sione Havili;Crusaders;6.0;4.8;7.2;321.0;288.0
234726;Macca Springer;Crusaders;6.0;7.2;4.8;279.0;335.0
157332;Tima Fainga'anuku;Moana Pasifika;6.0;6.8;5.2;282.0;326.0
184806;Caleb Muntz;Fijian Drua;5.9;5.0;6.8;319.0;299.0
197928;Taufa Funaki;Blues;5.85;7.8;3.9;270.0;359.0
221874;Max Burey;Western Force;5.85;8.5;3.2;255.0;380.0
134976;Connal McInerney;ACT Brumbies;5.7;4.0;7.4;347.0;285.0
173526;Brett Cameron;Hurricanes;5.6;8.2;3.0;262.0;391.0
130758;Tom Banks;ACT Brumbies;5.6;7.8;3.4;269.0;373.0
234552;Alex McRobbie;Moana Pasifika;5.5;4.3;6.7;338.0;303.0
211644;Jone Koroiduadua;Fijian Drua;5.5;5.1;5.9;316.0;312.0
173826;Pita Sowakula;Chiefs;5.5;6.2;4.8;297.0;333.0
216138;Corey Kellow;Crusaders;5.45;3.9;7.0;350.0;292.0
197988;Soane Vikena;Blues;5.2;4.5;5.9;328.0;311.0
243180;Tamati Ioane;Melbourne Rebels;5.15;4.7;5.6;323.0;317.0
118824;Bryn Hall;Crusaders;5.15;5.9;4.4;304.0;348.0
165168;Jona Nareki;Highlanders;5.15;6.3;4.0;295.0;356.0
52146;Sekope Kepu;Moana Pasifika;5.15;3.6;6.7;363.0;304.0
152016;Pari  Parkinson;Highlanders;5.050000000000001;3.7;6.4;361.0;305.0
233220;Vinaya Habosi;Fijian Drua;5.05;6.7;3.4;286.0;372.0
130674;Cameron Orr;Melbourne Rebels;5.05;3.4;6.7;364.0;301.0
149724;Dalton Papalii;Blues;5.0;3.1;6.9;373.0;294.0
128754;Jack Debreczeni;ACT Brumbies;4.95;5.2;4.7;315.0;339.0
234714;Noah Hotham;Crusaders;4.8;6.1;3.5;298.0;368.0
351972;Angelo Smith;Melbourne Rebels;4.7;4.2;5.2;339.0;323.0
176142;Jack Grant;NSW Waratahs;4.699999999999999;5.6;3.8;309.0;362.0
214284;George Bell;Crusaders;4.65;3.8;5.5;356.0;319.0
235854;Nikora Broughton;Highlanders;4.65;4.6;4.7;326.0;337.0
193470;Isaac Aedo Kailea;Melbourne Rebels;4.65;4.5;4.8;327.0;336.0
164082;Neria Fomai;Moana Pasifika;4.55;5.1;4.0;317.0;357.0
215670;Charlie Cale;ACT Brumbies;4.5;4.1;4.9;344.0;330.0
103230;Scott Sio;ACT Brumbies;4.5;3.7;5.3;360.0;322.0
58002;Jeremy Thrush;Western Force;4.5;4.1;4.9;343.0;329.0
130854;Henry Stowers;Moana Pasifika;4.45;4.4;4.5;332.0;347.0
153312;Trevor Hosea;Melbourne Rebels;4.45;3.9;5.0;349.0;327.0
166722;Tom Ross;ACT Brumbies;4.25;2.7;5.8;385.0;314.0
141702;Taleni Seu;NSW Waratahs;4.25;3.8;4.7;353.0;341.0
196686;Jackson Pugh;Western Force;4.2;3.6;4.8;362.0;334.0
165876;Harry Hoopert;Queensland Reds;4.2;3.2;5.2;367.0;325.0
60150;Dane Coles;Hurricanes;4.199999999999999;3.8;4.6;357.0;343.0
126420;Ray Niuia;Moana Pasifika;4.15;4.0;4.3;345.0;351.0
124284;Andrew Ready;Western Force;4.1;4.2;4.0;340.0;358.0
116328;John Ryan;Chiefs;4.1;2.7;5.5;386.0;321.0
184740;Xavier Roe;Chiefs;4.0;5.5;2.5;311.0;409.0
166788;Angus Wagner;Western Force;4.0;3.1;4.9;370.0;328.0
62538;Willi Heinz;Crusaders;3.95;4.4;3.5;330.0;369.0
153054;Josh Nasser;Queensland Reds;3.9000000000000004;3.1;4.7;371.0;338.0
214296;Jamie Hannah;Crusaders;3.8499999999999996;3.9;3.8;351.0;361.0
132954;Blake Gibson;Hurricanes;3.8499999999999996;2.9;4.8;375.0;332.0
192606;Tom Lambert;NSW Waratahs;3.75;3.3;4.2;365.0;352.0
141636;Mike McKee;Moana Pasifika;3.7;2.2;5.2;415.0;324.0
188916;Mosese Dawai;Highlanders;3.6999999999999997;4.1;3.3;341.0;377.0
124392;Mesake Doge;Fijian Drua;3.6999999999999997;2.8;4.6;380.0;342.0
161388;Harrison Goddard;NSW Waratahs;3.65;4.3;3.0;337.0;388.0
44196;Richard Kahui;Western Force;3.65;4.3;3.0;335.0;390.0
133386;Mitchell Hunt;Highlanders;3.65;4.5;2.8;329.0;398.0
221310;Liam Coombes-Fabling;Highlanders;3.6;4.0;3.2;346.0;381.0
175506;Sione Havili Talitui;Crusaders;3.6;2.7;4.5;384.0;346.0
126990;James O'Reilly;Hurricanes;3.5999999999999996;2.6;4.6;389.0;344.0
133386;Mitch Hunt;Highlanders;3.5999999999999996;4.6;2.6;325.0;403.0
206796;Etonia Waqa;Fijian Drua;3.55;3.7;3.4;359.0;370.0
197838;Simon Parker;Chiefs;3.55;2.8;4.3;379.0;350.0
190956;Archer Holz;NSW Waratahs;3.45;2.0;4.9;426.0;331.0
215352;Marley Pearce;Western Force;3.35;3.1;3.6;372.0;364.0
132846;Wes Goosen;Hurricanes;3.3499999999999996;4.3;2.4;334.0;414.0
335394;George Poolman;Western Force;3.3;4.1;2.5;342.0;408.0
201210;Ratu Meli Derenalagi;Fijian Drua;3.25;3.0;3.5;374.0;367.0
189198;Michael Curry;Moana Pasifika;3.2;2.5;3.9;391.0;360.0
233214;Onisi Ratave;Fijian Drua;3.2;4.3;2.1;336.0;429.0
149730;Ereatara Enari;Moana Pasifika;3.15;3.8;2.5;354.0;413.0
206814;Simione Kuruvoli;Fijian Drua;3.15;4.0;2.3;348.0;421.0
